,dist_diff,pairwise_diff
0,500.24760282232455,91.0
1,1701.6088651877935,110.0
2,1701.6088651877935,78.0
3,1701.6088651877935,169.0
4,1701.6088651877935,173.0
5,1701.6088651877935,9.0
6,1701.6088651877935,141.0
7,1472.3105720947226,100.0
8,1701.6088651877935,63.0
9,1701.6088651877935,195.0
10,1701.6088651877935,16.0
11,594.8459514219235,11.0
12,594.8459514219235,34.0
13,1567.3057033282173,153.0
14,1914.0053769003534,95.0
15,1979.3712024068825,108.0
16,513.8416870017718,140.0
17,594.8459514219235,44.0
18,1317.0469278391718,121.0
19,766.5214738416106,36.0
20,594.8459514219235,42.0
21,594.8459514219235,184.0
22,1211.4150650539286,185.0
23,1211.4150650539286,159.0
24,1211.4150650539286,210.0
25,1211.4150650539286,204.0
26,1211.4150650539286,100.0
27,1211.4150650539286,206.0
28,1072.3395923715984,189.0
29,1211.4150650539286,148.0
30,1211.4150650539286,210.0
31,1211.4150650539286,103.0
32,162.28383959719443,100.0
33,162.28383959719443,103.0
34,1242.1328683047948,168.0
35,1593.3513443676766,176.0
36,1522.654912790787,167.0
37,14.190414018481459,199.0
38,162.28383959719443,103.0
39,1436.1389394182133,154.0
40,701.2425901221511,101.0
41,162.28383959719443,121.0
42,162.28383959719443,193.0
43,0.0,78.0
44,0.0,143.0
45,0.0,177.0
46,0.0,109.0
47,0.0,109.0
48,614.5053556195872,54.0
49,0.0,77.0
50,0.0,221.0
51,0.0,106.0
52,1109.176293182175,107.0
53,1109.176293182175,122.0
54,1423.5067180747453,171.0
55,1634.6699266716573,83.0
56,999.4880386970317,118.0
57,1197.2479884533275,100.0
58,1109.176293182175,136.0
59,2370.21693783292,151.0
60,1645.1165949944407,142.0
61,1109.176293182175,132.0
62,1109.176293182175,166.0
63,0.0,161.0
64,0.0,179.0
65,0.0,79.0
66,0.0,109.0
67,614.5053556195872,62.0
68,0.0,73.0
69,0.0,221.0
70,0.0,82.0
71,1109.176293182175,77.0
72,1109.176293182175,92.0
73,1423.5067180747453,161.0
74,1634.6699266716573,79.0
75,999.4880386970317,108.0
76,1197.2479884533275,96.0
77,1109.176293182175,106.0
78,2370.21693783292,157.0
79,1645.1165949944407,112.0
80,1109.176293182175,108.0
81,1109.176293182175,170.0
82,0.0,224.0
83,0.0,168.0
84,0.0,154.0
85,614.5053556195872,153.0
86,0.0,150.0
87,0.0,220.0
88,0.0,161.0
89,1109.176293182175,170.0
90,1109.176293182175,169.0
91,1423.5067180747453,172.0
92,1634.6699266716573,156.0
93,999.4880386970317,167.0
94,1197.2479884533275,157.0
95,1109.176293182175,185.0
96,2370.21693783292,198.0
97,1645.1165949944407,187.0
98,1109.176293182175,173.0
99,1109.176293182175,179.0
100,0.0,172.0
101,0.0,204.0
102,614.5053556195872,189.0
103,0.0,174.0
104,0.0,260.0
105,0.0,161.0
106,1109.176293182175,180.0
107,1109.176293182175,181.0
108,1423.5067180747453,218.0
109,1634.6699266716573,184.0
110,999.4880386970317,201.0
111,1197.2479884533275,197.0
112,1109.176293182175,189.0
113,2370.21693783292,206.0
114,1645.1165949944407,183.0
115,1109.176293182175,201.0
116,1109.176293182175,203.0
117,0.0,134.0
118,614.5053556195872,97.0
119,0.0,64.0
120,0.0,192.0
121,0.0,19.0
122,1109.176293182175,16.0
123,1109.176293182175,43.0
124,1423.5067180747453,154.0
125,1634.6699266716573,98.0
126,999.4880386970317,115.0
127,1197.2479884533275,135.0
128,1109.176293182175,49.0
129,2370.21693783292,118.0
130,1645.1165949944407,43.0
131,1109.176293182175,47.0
132,1109.176293182175,177.0
133,614.5053556195872,103.0
134,0.0,124.0
135,0.0,244.0
136,0.0,133.0
137,1109.176293182175,138.0
138,1109.176293182175,147.0
139,1423.5067180747453,212.0
140,1634.6699266716573,118.0
141,999.4880386970317,153.0
142,1197.2479884533275,87.0
143,1109.176293182175,153.0
144,2370.21693783292,170.0
145,1645.1165949944407,171.0
146,1109.176293182175,155.0
147,1109.176293182175,181.0
148,614.5053556195872,67.0
149,614.5053556195872,223.0
150,614.5053556195872,98.0
151,918.6878211272024,97.0
152,918.6878211272024,112.0
153,1796.0863598703818,175.0
154,2075.194355703484,89.0
155,1558.7791072242026,110.0
156,1059.7535417403978,88.0
157,918.6878211272024,128.0
158,2461.9978689798654,153.0
159,1702.8544595090154,134.0
160,918.6878211272024,116.0
161,918.6878211272024,170.0
162,0.0,216.0
163,0.0,59.0
164,1109.176293182175,64.0
165,1109.176293182175,81.0
166,1423.5067180747453,156.0
167,1634.6699266716573,88.0
168,999.4880386970317,105.0
169,1197.2479884533275,101.0
170,1109.176293182175,97.0
171,2370.21693783292,132.0
172,1645.1165949944407,97.0
173,1109.176293182175,87.0
174,1109.176293182175,169.0
175,0.0,193.0
176,1109.176293182175,202.0
177,1109.176293182175,203.0
178,1423.5067180747453,226.0
179,1634.6699266716573,228.0
180,999.4880386970317,211.0
181,1197.2479884533275,235.0
182,1109.176293182175,205.0
183,2370.21693783292,212.0
184,1645.1165949944407,191.0
185,1109.176293182175,213.0
186,1109.176293182175,229.0
187,1109.176293182175,27.0
188,1109.176293182175,46.0
189,1423.5067180747453,157.0
190,1634.6699266716573,103.0
191,999.4880386970317,110.0
192,1197.2479884533275,130.0
193,1109.176293182175,56.0
194,2370.21693783292,111.0
195,1645.1165949944407,52.0
196,1109.176293182175,56.0
197,1109.176293182175,174.0
198,0.0,39.0
199,1328.7511025589477,154.0
200,1675.8987010092405,96.0
201,1528.7359734746142,113.0
202,152.5185095712514,137.0
203,0.0,49.0
204,1597.8974930804,124.0
205,858.5315138986641,47.0
206,0.0,47.0
207,0.0,181.0
208,1328.7511025589477,153.0
209,1675.8987010092405,109.0
210,1528.7359734746142,120.0
211,152.5185095712514,140.0
212,0.0,72.0
213,1597.8974930804,131.0
214,858.5315138986641,58.0
215,0.0,66.0
216,0.0,174.0
217,352.1301745232114,142.0
218,761.0310779376466,145.0
219,1238.4194294853232,175.0
220,1328.7511025589477,155.0
221,1260.9417291828897,172.0
222,894.4697465618465,151.0
223,1328.7511025589477,151.0
224,1328.7511025589477,147.0
225,775.7062241022852,105.0
226,1589.3728261114202,103.0
227,1675.8987010092405,121.0
228,1441.524755859922,170.0
229,1214.2889183659513,127.0
230,1675.8987010092405,117.0
231,1675.8987010092405,177.0
232,1512.563384291614,128.0
233,1528.7359734746142,130.0
234,2008.816912197781,159.0
235,1500.1685617259814,124.0
236,1528.7359734746142,118.0
237,1528.7359734746142,166.0
238,152.5185095712514,144.0
239,1445.388996413244,163.0
240,708.3451631013726,168.0
241,152.5185095712514,144.0
242,152.5185095712514,150.0
243,1597.8974930804,127.0
244,858.5315138986641,74.0
245,0.0,70.0
246,0.0,176.0
247,759.173706901232,141.0
248,1597.8974930804,121.0
249,1597.8974930804,153.0
250,858.5315138986641,72.0
251,858.5315138986641,182.0
252,0.0,162.0
